Created On,Created By,Text
"Sun Mar 22 15:16:54 +0000 2020","silverbackpros1","It is inevitable!.. The entire UK is going on LOCKDOWN! UK politicians &amp; their CORRUPT advisors co"
"Sun Mar 22 15:16:54 +0000 2020","Shayo_Gabriel_","RT Singapore took care of Coronavirus because they Followed protocol. In Kenya, You tell a Kenyan to stay home, s(he) will tel"
"Sun Mar 22 15:16:53 +0000 2020","micealomairtin","RT We now know there are clusters of in Ireland, but where? Below is how Singapore helped their citizens protect"
"Sun Mar 22 15:16:53 +0000 2020","Wellington_Shih","Singapore, Hong Kong, Taiwan: the real coronavirus world leaders | South China Morning Post"
"Sun Mar 22 15:16:52 +0000 2020","TanGrids","RT The WHO warned the world to set up specific dedicated Pandemic Units. Singapore did. Australia did not (and also fired one"
"Sun Mar 22 15:16:51 +0000 2020","_ChetanGanatra","RT My aunt in Singapore sent this. The call by our PM to thank the healthcare professionals for their commitm"
"Sun Mar 22 15:16:48 +0000 2020","GatotkacaPvp","Snorunt Rank 2 GL Froslass 1496 CP 414, L 19 - IV 64%, (0/14/15), PU L 28.0 M1 Powder Snow, M2 Icy"
"Sun Mar 22 15:16:47 +0000 2020","R0B1NYJ","RT Worth reading: \"Singapore appears not to have had a single recorded health-care-related transmission, despite the hundr"
"Sun Mar 22 15:16:46 +0000 2020","wannabeelektra","RT The rise of imported cases prompted Singapore to ban ALL tourists starting 11:59 pm on Monday, March 23. Th"
"Sun Mar 22 15:16:44 +0000 2020","guptasonali","RT We can learn from the experiences of our colleagues across the planet, writes, of Singapores and Hong Kong"
"Sun Mar 22 15:16:43 +0000 2020","DCflintstonefan","RT Russia and Singapore have esssntially no coronavirus cases. Commonalities? They both shut their borders months ago while"
"Sun Mar 22 15:16:40 +0000 2020","amychomd","This is NOT business as usual. We need to look what S. Korea and Singapore have done and how they have been success"
"Sun Mar 22 15:16:38 +0000 2020","MRPszcola","RT Russia and Singapore have esssntially no coronavirus cases. Commonalities? They both shut their borders months ago while"
"Sun Mar 22 15:16:38 +0000 2020","Alla92490007","MULTI STEP PRIVATE PLACEMENT PROGRAM FOR INVESTORS WITH AMOUNT FROM $100M TO $5B. ASSET TYPE: Cash Only from Top B"
"Sun Mar 22 15:16:37 +0000 2020","AmadorRepublic1","RT Russia and Singapore have esssntially no coronavirus cases. Commonalities? They both shut their borders months ago while"
"Sun Mar 22 15:16:34 +0000 2020","TIGERRCOOKIE","RT Russia and Singapore have esssntially no coronavirus cases. Commonalities? They both shut their borders months ago while"
"Sun Mar 22 15:16:34 +0000 2020","RainiBrian","RT Can someone please ask a question on screening &amp; testing? That's where the emphasis in Singapore &amp; South Korea was. Alafu,"
"Sun Mar 22 15:16:34 +0000 2020","AndrewJohns13","RT Russia and Singapore have esssntially no coronavirus cases. Commonalities? They both shut their borders months ago while"
"Sun Mar 22 15:16:32 +0000 2020","prashantgr","RT Joining in PM call, Indians in Singapore expressed their gratitude and appreciation for all those profes"
"Sun Mar 22 15:16:31 +0000 2020","summer2017z","[HELP LIKE/RT] We are ready for MYUNGSOO's cafe event in Singapore 12-7pm at 28th March | 5themoments Cafe"
"Sun Mar 22 15:16:30 +0000 2020","ManishN13","RT My aunt in Singapore sent this. The call by our PM to thank the healthcare professionals for their commitm"
"Sun Mar 22 15:16:30 +0000 2020","sammy_jona","RT 9/ Hands down Hanna tells children to \"keep their hands away from their face,\" Super Soapy Soffy\" wants you to soap wh"
"Sun Mar 22 15:16:24 +0000 2020","invincible_vss","Singapore people are very civilised as compared to us."
"Sun Mar 22 15:16:24 +0000 2020","Roman_Dzieciol","WHO gives advice on how to boost your health to fight Covid-19"
"Sun Mar 22 15:16:20 +0000 2020","YoungsvilleP","RT Will this be enough? There's promise. But critical to Singapore and Hong Kong's success was also aggressive community scr"
"Sun Mar 22 15:16:20 +0000 2020","JanetTavakoli","RT Yes. If we allow the USA's govt &amp; economy to be destroyed in this way, our future \"health care\" system will"
"Sun Mar 22 15:16:16 +0000 2020","Barnes_Law","RT 10/ Last but not least, closing borders to the epicenter early. Singapore was the 3rd nation, after Russia and North K"
"Sun Mar 22 15:16:16 +0000 2020","malikmajidjp","RT IN PICTURES: Several retail and F&amp;B outlets in Singapore have implemented safe distancing measures to help prevent the"
"Sun Mar 22 15:16:13 +0000 2020","udaygeeth","RT My aunt in Singapore sent this. The call by our PM to thank the healthcare professionals for their commitm"
"Sun Mar 22 15:16:12 +0000 2020","chewyoursins","RT Many are curious why and did so well with the coronavirus. Here's a thread pulling together what"
"Sun Mar 22 15:16:12 +0000 2020","ShaiKappa","RT The pattern/response to in Asia is in stark contrast to that in Europe and the US A terrific thread by"
"Sun Mar 22 15:16:11 +0000 2020","Darko_SDonnie","RT NEWS: What Singapore and Hong Kongs success in protecting health care workers teaches us about controlling the pandemic."
"Sun Mar 22 15:16:11 +0000 2020","playdoegold","RT Demand for gold surges in Singapore; India discounts narrow sharply on price fall \"a huge surge in demand for physical preci"
"Sun Mar 22 15:16:10 +0000 2020","am_dagi","RT Singapore took care of Coronavirus because they Followed protocol. In Kenya, You tell a Kenyan to stay home, s(he) will tel"
"Sun Mar 22 15:16:08 +0000 2020","KatherynUnited","RT Russia and Singapore have esssntially no coronavirus cases. Commonalities? They both shut their borders months ago while"
"Sun Mar 22 15:16:05 +0000 2020","Vladthe40185434","RT Russia and Singapore have esssntially no coronavirus cases. Commonalities? They both shut their borders months ago while"
"Sun Mar 22 15:16:02 +0000 2020","bala_chn","RT This is not Dubai, this is not Singapore, this is WE and our collective stupidity."
"Sun Mar 22 15:16:01 +0000 2020","eiki1212","Basic f&amp;b business is under changing. How a big an impact on the economy."
"Sun Mar 22 15:15:57 +0000 2020","Mad_Mariella","How waged war on via"
"Sun Mar 22 15:15:53 +0000 2020","iekmayo","Singapore carrot cake."
"Sun Mar 22 15:15:48 +0000 2020","SusieShivani","RT Life in Singapore (243 cases, 0 deaths) has pretty much returned to normal. People are walking around, mostly without mas"
"Sun Mar 22 15:15:48 +0000 2020","inside_lemon","RT The WHO warned the world to set up specific dedicated Pandemic Units. Singapore did. Australia did not (and also fired one"
"Sun Mar 22 15:15:47 +0000 2020","helene_wpli","RT Yes, for us in &amp; whos been through SARS and are a highly vigilant and disciplined community"
"Sun Mar 22 15:15:47 +0000 2020","B_Colem","RT Coronavirus latest: shuts border to visitors; Malaysia deploys troops"
"Sun Mar 22 15:15:46 +0000 2020","vespasian91","RT Ryan said that the examples of China, Singapore and South Korea, which coupled restrictions with rigorous measures to t"
"Sun Mar 22 15:15:45 +0000 2020","momoonster","RT Stash has been working to get more people tested in the Philippines. We are working with Janesis Biosciences, Singapore and wi"
"Sun Mar 22 15:15:44 +0000 2020","bbxman","We can't do the testing like Singapore and Taiwan +citizens followed government directions..."
"Sun Mar 22 15:15:40 +0000 2020","Gumoclintone","RT Can someone please ask a question on screening &amp; testing? That's where the emphasis in Singapore &amp; South Korea was. Alafu,"
"Sun Mar 22 15:15:37 +0000 2020","Rishashi","Fellow citizens let's adhere and follow the instructions set about by the health authority otherwise"
"Sun Mar 22 15:15:35 +0000 2020","52MLB","RT Russia and Singapore have esssntially no coronavirus cases. Commonalities? They both shut their borders months ago while"
"Sun Mar 22 15:15:34 +0000 2020","pdegrauwe","RT Worth reading: \"Singapore appears not to have had a single recorded health-care-related transmission, despite the hundr"
"Sun Mar 22 15:15:34 +0000 2020","sandeep21031983","RT NEWS: What Singapore and Hong Kongs success in protecting health care workers teaches us about controlling the pandemic."
"Sun Mar 22 15:15:33 +0000 2020","PiedRavenGames","RT This amazing looking creature is the skull-faced caterpillar from Singapore. (Photo: Melvyn Yeo)"
"Sun Mar 22 15:15:33 +0000 2020","Atul_Gawande","Will this be enough? There's promise. But critical to Singapore and Hong Kong's success was also aggressive communi"
"Sun Mar 22 15:15:29 +0000 2020","Avibase","RT Plaintive Cuckoo We said farewell to our UK visitors this morning in Khao Kho, where I snapped this male bird. Whilst we"
"Sun Mar 22 15:15:24 +0000 2020","luvinqian","alSO remember that singapore schools were on vacation the beginning of the outbreak so they didn't go to s"
"Sun Mar 22 15:15:22 +0000 2020","PM_Bharat_","RT My aunt in Singapore sent this. The call by our PM to thank the healthcare professionals for their commitm"
"Sun Mar 22 15:15:21 +0000 2020","philippeoc","I have to disagree that the US is the worst. Korea, Singapore, Hong Kong, Mongolia and R"
"Sun Mar 22 15:15:20 +0000 2020","sammy_jona","RT 2/ Contract tracing was key: Singapore gave a new meaning to disease detectives: they mobilized cops &amp; a network of th"
"Sun Mar 22 15:15:18 +0000 2020","Richard11317399","RT Singapore took care of Coronavirus because they Followed protocol. In Kenya, You tell a Kenyan to stay home, s(he) will tel"
"Sun Mar 22 15:15:18 +0000 2020","AaBeacon","RT Its interesting that the countries that have been most successful in battling Covid-19 (South Korea, China, Singapore, Jap"
"Sun Mar 22 15:15:16 +0000 2020","alphaideas","RT My aunt in Singapore sent this. The call by our PM to thank the healthcare professionals for their commitm"
"Sun Mar 22 15:15:13 +0000 2020","SanyaCreate","RT Joining in PM call, Indians in Singapore expressed their gratitude and appreciation for all those profes"
"Sun Mar 22 15:15:11 +0000 2020","ME31017974","Singapore at one time even supply 4pcs of mask for every household if i am not mistaken"
"Sun Mar 22 15:15:09 +0000 2020","terrychristian","Remember when British surrendered in singapore with a massive army over twice the siz"
